,CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,lname,sorted_date
298591,40368555,IL CORTILE RESTAURANT,MANHATTAN,123,MULBERRY STREET,10013.0,2122266060,Italian,04/16/2015,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,9.0,A,04/16/2015,08/28/2017,Cycle Inspection / Initial Inspection,il cortile restaurant,2015-04-16
1693,40368555,IL CORTILE RESTAURANT,MANHATTAN,123,MULBERRY STREET,10013.0,2122266060,Italian,05/02/2016,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,24.0,,,08/28/2017,Cycle Inspection / Initial Inspection,il cortile restaurant,2016-05-02
112506,40368555,IL CORTILE RESTAURANT,MANHATTAN,123,MULBERRY STREET,10013.0,2122266060,Italian,05/02/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,24.0,,,08/28/2017,Cycle Inspection / Initial Inspection,il cortile restaurant,2016-05-02
161860,40368555,IL CORTILE RESTAURANT,MANHATTAN,123,MULBERRY STREET,10013.0,2122266060,Italian,05/02/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,24.0,,,08/28/2017,Cycle Inspection / Initial Inspection,il cortile restaurant,2016-05-02
303717,40368555,IL CORTILE RESTAURANT,MANHATTAN,123,MULBERRY STREET,10013.0,2122266060,Italian,05/02/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,24.0,,,08/28/2017,Cycle Inspection / Initial Inspection,il cortile restaurant,2016-05-02
361030,40368555,IL CORTILE RESTAURANT,MANHATTAN,123,MULBERRY STREET,10013.0,2122266060,Italian,05/02/2016,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,24.0,,,08/28/2017,Cycle Inspection / Initial Inspection,il cortile restaurant,2016-05-02
155872,40368555,IL CORTILE RESTAURANT,MANHATTAN,123,MULBERRY STREET,10013.0,2122266060,Italian,06/15/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,8.0,A,06/15/2016,08/28/2017,Cycle Inspection / Re-inspection,il cortile restaurant,2016-06-15
177662,40368555,IL CORTILE RESTAURANT,MANHATTAN,123,MULBERRY STREET,10013.0,2122266060,Italian,06/15/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8.0,A,06/15/2016,08/28/2017,Cycle Inspection / Re-inspection,il cortile restaurant,2016-06-15
48883,40368555,IL CORTILE RESTAURANT,MANHATTAN,123,MULBERRY STREET,10013.0,2122266060,Italian,11/14/2016,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,5.0,A,11/14/2016,08/28/2017,Cycle Inspection / Initial Inspection,il cortile restaurant,2016-11-14
69618,50013798,IL MULINO PRIME,MANHATTAN,331,W BROADWAY,10013.0,2122260020,Italian,10/10/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3.0,A,10/10/2014,08/28/2017,Pre-permit (Operational) / Initial Inspection,il mulino prime,2014-10-10
114919,50013798,IL MULINO PRIME,MANHATTAN,331,W BROADWAY,10013.0,2122260020,Italian,11/17/2015,Violations were cited in the following area(s).,22A,"Nuisance created or allowed to exist. Facility not free from unsafe, hazardous, offensive or annoying conditions.",Not Critical,,,,08/28/2017,Administrative Miscellaneous / Initial Inspection,il mulino prime,2015-11-17
158615,50013798,IL MULINO PRIME,MANHATTAN,331,W BROADWAY,10013.0,2122260020,Italian,11/17/2015,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,9.0,A,11/17/2015,08/28/2017,Cycle Inspection / Initial Inspection,il mulino prime,2015-11-17
215704,50013798,IL MULINO PRIME,MANHATTAN,331,W BROADWAY,10013.0,2122260020,Italian,11/17/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9.0,A,11/17/2015,08/28/2017,Cycle Inspection / Initial Inspection,il mulino prime,2015-11-17
222898,50013798,IL MULINO PRIME,MANHATTAN,331,W BROADWAY,10013.0,2122260020,Italian,11/17/2015,Violations were cited in the following area(s).,08B,"Covered garbage receptacle not provided or inadequate, except that garbage receptacle may be uncovered during active use. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.",Not Critical,9.0,A,11/17/2015,08/28/2017,Cycle Inspection / Initial Inspection,il mulino prime,2015-11-17
265317,50013798,IL MULINO PRIME,MANHATTAN,331,W BROADWAY,10013.0,2122260020,Italian,12/22/2016,Violations were cited in the following area(s).,04E,"Toxic chemical improperly labeled, stored or used such that food contamination may occur.",Critical,12.0,A,12/22/2016,08/28/2017,Cycle Inspection / Initial Inspection,il mulino prime,2016-12-22
321411,50013798,IL MULINO PRIME,MANHATTAN,331,W BROADWAY,10013.0,2122260020,Italian,12/22/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12.0,A,12/22/2016,08/28/2017,Cycle Inspection / Initial Inspection,il mulino prime,2016-12-22
85483,40578124,IL POSTINO,MANHATTAN,337,EAST   49 STREET,10017.0,2126880033,Italian,06/10/2014,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,18.0,,,08/28/2017,Cycle Inspection / Initial Inspection,il postino,2014-06-10
103805,40578124,IL POSTINO,MANHATTAN,337,EAST   49 STREET,10017.0,2126880033,Italian,06/10/2014,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,18.0,,,08/28/2017,Cycle Inspection / Initial Inspection,il postino,2014-06-10
157689,40578124,IL POSTINO,MANHATTAN,337,EAST   49 STREET,10017.0,2126880033,Italian,06/10/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,18.0,,,08/28/2017,Cycle Inspection / Initial Inspection,il postino,2014-06-10
224282,40578124,IL POSTINO,MANHATTAN,337,EAST   49 STREET,10017.0,2126880033,Italian,06/10/2014,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,18.0,,,08/28/2017,Cycle Inspection / Initial Inspection,il postino,2014-06-10
229179,40578124,IL POSTINO,MANHATTAN,337,EAST   49 STREET,10017.0,2126880033,Italian,06/10/2014,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,18.0,,,08/28/2017,Cycle Inspection / Initial Inspection,il postino,2014-06-10
265278,40578124,IL POSTINO,MANHATTAN,337,EAST   49 STREET,10017.0,2126880033,Italian,06/10/2014,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,18.0,,,08/28/2017,Cycle Inspection / Initial Inspection,il postino,2014-06-10
5310,40578124,IL POSTINO,MANHATTAN,337,EAST   49 STREET,10017.0,2126880033,Italian,07/28/2014,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,15.0,B,07/28/2014,08/28/2017,Cycle Inspection / Re-inspection,il postino,2014-07-28
183566,40578124,IL POSTINO,MANHATTAN,337,EAST   49 STREET,10017.0,2126880033,Italian,07/28/2014,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,15.0,B,07/28/2014,08/28/2017,Cycle Inspection / Re-inspection,il postino,2014-07-28
229275,40578124,IL POSTINO,MANHATTAN,337,EAST   49 STREET,10017.0,2126880033,Italian,07/28/2014,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,15.0,B,07/28/2014,08/28/2017,Cycle Inspection / Re-inspection,il postino,2014-07-28
314900,40578124,IL POSTINO,MANHATTAN,337,EAST   49 STREET,10017.0,2126880033,Italian,07/28/2014,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,15.0,B,07/28/2014,08/28/2017,Cycle Inspection / Re-inspection,il postino,2014-07-28
371742,40578124,IL POSTINO,MANHATTAN,337,EAST   49 STREET,10017.0,2126880033,Italian,07/28/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,15.0,B,07/28/2014,08/28/2017,Cycle Inspection / Re-inspection,il postino,2014-07-28
104622,40578124,IL POSTINO,MANHATTAN,337,EAST   49 STREET,10017.0,2126880033,Italian,02/09/2015,Violations were cited in the following area(s).,20E,Letter Grade or Grade Pending card not conspicuously posted and visible to passersby.,Not Critical,,,,08/28/2017,Administrative Miscellaneous / Initial Inspection,il postino,2015-02-09
105879,40578124,IL POSTINO,MANHATTAN,337,EAST   49 STREET,10017.0,2126880033,Italian,02/09/2015,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,9.0,A,02/09/2015,08/28/2017,Cycle Inspection / Initial Inspection,il postino,2015-02-09
297369,40578124,IL POSTINO,MANHATTAN,337,EAST   49 STREET,10017.0,2126880033,Italian,02/09/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9.0,A,02/09/2015,08/28/2017,Cycle Inspection / Initial Inspection,il postino,2015-02-09
336316,40578124,IL POSTINO,MANHATTAN,337,EAST   49 STREET,10017.0,2126880033,Italian,02/09/2015,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,9.0,A,02/09/2015,08/28/2017,Cycle Inspection / Initial Inspection,il postino,2015-02-09
126927,40578124,IL POSTINO,MANHATTAN,337,EAST   49 STREET,10017.0,2126880033,Italian,03/10/2016,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,20.0,,,08/28/2017,Cycle Inspection / Initial Inspection,il postino,2016-03-10
238753,40578124,IL POSTINO,MANHATTAN,337,EAST   49 STREET,10017.0,2126880033,Italian,03/10/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,20.0,,,08/28/2017,Cycle Inspection / Initial Inspection,il postino,2016-03-10
301073,40578124,IL POSTINO,MANHATTAN,337,EAST   49 STREET,10017.0,2126880033,Italian,03/10/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,20.0,,,08/28/2017,Cycle Inspection / Initial Inspection,il postino,2016-03-10
385570,40578124,IL POSTINO,MANHATTAN,337,EAST   49 STREET,10017.0,2126880033,Italian,03/10/2016,Violations were cited in the following area(s).,02C,Hot food item that has been cooked and refrigerated is being held for service without first being reheated to 1 65Âº F or above within 2 hours.,Critical,20.0,,,08/28/2017,Cycle Inspection / Initial Inspection,il postino,2016-03-10
95349,40578124,IL POSTINO,MANHATTAN,337,EAST   49 STREET,10017.0,2126880033,Italian,04/06/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10.0,A,04/06/2016,08/28/2017,Cycle Inspection / Re-inspection,il postino,2016-04-06
307440,40578124,IL POSTINO,MANHATTAN,337,EAST   49 STREET,10017.0,2126880033,Italian,04/06/2016,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,10.0,A,04/06/2016,08/28/2017,Cycle Inspection / Re-inspection,il postino,2016-04-06
306,50047071,IL POSTINO,QUEENS,5376,65TH PL,11378.0,3477242424,Pizza/Italian,04/25/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,51.0,,,08/28/2017,Pre-permit (Operational) / Initial Inspection,il postino,2016-04-25
44537,50047071,IL POSTINO,QUEENS,5376,65TH PL,11378.0,3477242424,Pizza/Italian,04/25/2016,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,51.0,,,08/28/2017,Pre-permit (Operational) / Initial Inspection,il postino,2016-04-25
131313,50047071,IL POSTINO,QUEENS,5376,65TH PL,11378.0,3477242424,Pizza/Italian,04/25/2016,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,51.0,,,08/28/2017,Pre-permit (Operational) / Initial Inspection,il postino,2016-04-25
149510,50047071,IL POSTINO,QUEENS,5376,65TH PL,11378.0,3477242424,Pizza/Italian,04/25/2016,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,51.0,,,08/28/2017,Pre-permit (Operational) / Initial Inspection,il postino,2016-04-25
206885,50047071,IL POSTINO,QUEENS,5376,65TH PL,11378.0,3477242424,Pizza/Italian,04/25/2016,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,51.0,,,08/28/2017,Pre-permit (Operational) / Initial Inspection,il postino,2016-04-25
326772,50047071,IL POSTINO,QUEENS,5376,65TH PL,11378.0,3477242424,Pizza/Italian,04/25/2016,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,51.0,,,08/28/2017,Pre-permit (Operational) / Initial Inspection,il postino,2016-04-25
357292,50047071,IL POSTINO,QUEENS,5376,65TH PL,11378.0,3477242424,Pizza/Italian,04/25/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,51.0,,,08/28/2017,Pre-permit (Operational) / Initial Inspection,il postino,2016-04-25
382630,50047071,IL POSTINO,QUEENS,5376,65TH PL,11378.0,3477242424,Pizza/Italian,04/25/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,51.0,,,08/28/2017,Pre-permit (Operational) / Initial Inspection,il postino,2016-04-25
396136,50047071,IL POSTINO,QUEENS,5376,65TH PL,11378.0,3477242424,Pizza/Italian,04/25/2016,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,51.0,,,08/28/2017,Pre-permit (Operational) / Initial Inspection,il postino,2016-04-25
84099,50047071,IL POSTINO,QUEENS,5376,65TH PL,11378.0,3477242424,Pizza/Italian,06/28/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10.0,A,06/28/2016,08/28/2017,Pre-permit (Operational) / Re-inspection,il postino,2016-06-28
107544,50047071,IL POSTINO,QUEENS,5376,65TH PL,11378.0,3477242424,Pizza/Italian,06/28/2016,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,10.0,A,06/28/2016,08/28/2017,Pre-permit (Operational) / Re-inspection,il postino,2016-06-28
49622,40578124,IL POSTINO,MANHATTAN,337,EAST   49 STREET,10017.0,2126880033,Italian,10/20/2016,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,24.0,,,08/28/2017,Cycle Inspection / Initial Inspection,il postino,2016-10-20
188995,40578124,IL POSTINO,MANHATTAN,337,EAST   49 STREET,10017.0,2126880033,Italian,10/20/2016,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,24.0,,,08/28/2017,Cycle Inspection / Initial Inspection,il postino,2016-10-20
215408,40578124,IL POSTINO,MANHATTAN,337,EAST   49 STREET,10017.0,2126880033,Italian,10/20/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,24.0,,,08/28/2017,Cycle Inspection / Initial Inspection,il postino,2016-10-20
270260,40578124,IL POSTINO,MANHATTAN,337,EAST   49 STREET,10017.0,2126880033,Italian,10/20/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,24.0,,,08/28/2017,Cycle Inspection / Initial Inspection,il postino,2016-10-20
194580,40578124,IL POSTINO,MANHATTAN,337,EAST   49 STREET,10017.0,2126880033,Italian,02/02/2017,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,12.0,A,02/02/2017,08/28/2017,Cycle Inspection / Re-inspection,il postino,2017-02-02
218765,40578124,IL POSTINO,MANHATTAN,337,EAST   49 STREET,10017.0,2126880033,Italian,02/02/2017,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12.0,A,02/02/2017,08/28/2017,Cycle Inspection / Re-inspection,il postino,2017-02-02
231927,40578124,IL POSTINO,MANHATTAN,337,EAST   49 STREET,10017.0,2126880033,Italian,02/02/2017,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12.0,A,02/02/2017,08/28/2017,Cycle Inspection / Re-inspection,il postino,2017-02-02
43047,50047071,IL POSTINO,QUEENS,5376,65TH PL,11378.0,3477242424,Pizza/Italian,02/14/2017,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,66.0,,,08/28/2017,Cycle Inspection / Initial Inspection,il postino,2017-02-14
88977,50047071,IL POSTINO,QUEENS,5376,65TH PL,11378.0,3477242424,Pizza/Italian,02/14/2017,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,66.0,,,08/28/2017,Cycle Inspection / Initial Inspection,il postino,2017-02-14
89380,50047071,IL POSTINO,QUEENS,5376,65TH PL,11378.0,3477242424,Pizza/Italian,02/14/2017,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,66.0,,,08/28/2017,Cycle Inspection / Initial Inspection,il postino,2017-02-14
205923,50047071,IL POSTINO,QUEENS,5376,65TH PL,11378.0,3477242424,Pizza/Italian,02/14/2017,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,66.0,,,08/28/2017,Cycle Inspection / Initial Inspection,il postino,2017-02-14
258461,50047071,IL POSTINO,QUEENS,5376,65TH PL,11378.0,3477242424,Pizza/Italian,02/14/2017,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,66.0,,,08/28/2017,Cycle Inspection / Initial Inspection,il postino,2017-02-14
296167,50047071,IL POSTINO,QUEENS,5376,65TH PL,11378.0,3477242424,Pizza/Italian,02/14/2017,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,05H,"No facilities available to wash, rinse and sanitize utensils and/or equipment.",Critical,66.0,,,08/28/2017,Cycle Inspection / Initial Inspection,il postino,2017-02-14
111333,50047071,IL POSTINO,QUEENS,5376,65TH PL,11378.0,3477242424,Pizza/Italian,02/21/2017,Establishment re-opened by DOHMH,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2.0,P,02/21/2017,08/28/2017,Cycle Inspection / Reopening Inspection,il postino,2017-02-21
30180,50047071,IL POSTINO,QUEENS,5376,65TH PL,11378.0,3477242424,Pizza/Italian,04/10/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,22.0,B,04/10/2017,08/28/2017,Cycle Inspection / Re-inspection,il postino,2017-04-10
253314,50047071,IL POSTINO,QUEENS,5376,65TH PL,11378.0,3477242424,Pizza/Italian,04/10/2017,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,22.0,B,04/10/2017,08/28/2017,Cycle Inspection / Re-inspection,il postino,2017-04-10
352536,50047071,IL POSTINO,QUEENS,5376,65TH PL,11378.0,3477242424,Pizza/Italian,04/10/2017,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,22.0,B,04/10/2017,08/28/2017,Cycle Inspection / Re-inspection,il postino,2017-04-10
392904,50047071,IL POSTINO,QUEENS,5376,65TH PL,11378.0,3477242424,Pizza/Italian,04/10/2017,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,22.0,B,04/10/2017,08/28/2017,Cycle Inspection / Re-inspection,il postino,2017-04-10
1566,41385488,INAKAYA,MANHATTAN,620,8 AVENUE,10018.0,2123542195,Japanese,12/06/2013,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,19.0,,,08/28/2017,Cycle Inspection / Initial Inspection,inakaya,2013-12-06
187924,41385488,INAKAYA,MANHATTAN,620,8 AVENUE,10018.0,2123542195,Japanese,12/06/2013,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,19.0,,,08/28/2017,Cycle Inspection / Initial Inspection,inakaya,2013-12-06
200384,41385488,INAKAYA,MANHATTAN,620,8 AVENUE,10018.0,2123542195,Japanese,12/06/2013,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,19.0,,,08/28/2017,Cycle Inspection / Initial Inspection,inakaya,2013-12-06
272235,41385488,INAKAYA,MANHATTAN,620,8 AVENUE,10018.0,2123542195,Japanese,12/06/2013,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,19.0,,,08/28/2017,Cycle Inspection / Initial Inspection,inakaya,2013-12-06
328375,41385488,INAKAYA,MANHATTAN,620,8 AVENUE,10018.0,2123542195,Japanese,12/06/2013,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,19.0,,,08/28/2017,Cycle Inspection / Initial Inspection,inakaya,2013-12-06
52023,41385488,INAKAYA,MANHATTAN,620,8 AVENUE,10018.0,2123542195,Japanese,02/25/2014,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,9.0,A,02/25/2014,08/28/2017,Cycle Inspection / Re-inspection,inakaya,2014-02-25
110910,41385488,INAKAYA,MANHATTAN,620,8 AVENUE,10018.0,2123542195,Japanese,02/25/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9.0,A,02/25/2014,08/28/2017,Cycle Inspection / Re-inspection,inakaya,2014-02-25
364574,41385488,INAKAYA,MANHATTAN,620,8 AVENUE,10018.0,2123542195,Japanese,02/25/2014,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,9.0,A,02/25/2014,08/28/2017,Cycle Inspection / Re-inspection,inakaya,2014-02-25
273339,41385488,INAKAYA,MANHATTAN,620,8 AVENUE,10018.0,2123542195,Japanese,08/20/2014,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,7.0,A,08/20/2014,08/28/2017,Cycle Inspection / Initial Inspection,inakaya,2014-08-20
94095,41385488,INAKAYA,MANHATTAN,620,8 AVENUE,10018.0,2123542195,Japanese,07/27/2015,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12.0,A,07/27/2015,08/28/2017,Cycle Inspection / Initial Inspection,inakaya,2015-07-27
322193,41385488,INAKAYA,MANHATTAN,620,8 AVENUE,10018.0,2123542195,Japanese,07/27/2015,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12.0,A,07/27/2015,08/28/2017,Cycle Inspection / Initial Inspection,inakaya,2015-07-27
372040,41385488,INAKAYA,MANHATTAN,620,8 AVENUE,10018.0,2123542195,Japanese,07/27/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12.0,A,07/27/2015,08/28/2017,Cycle Inspection / Initial Inspection,inakaya,2015-07-27
